Nom_complet;Sexe;Nuance;Elu;Région;Tendency
COQUELET Christophe;MASCULIN;ENS;False;Auvergne-Rhône-Alpes;Centre-Droite
PISANI Florence;FEMININ;UG;False;Auvergne-Rhône-Alpes;Gauche
GIVERNET Olga;FEMININ;ENS;True;Auvergne-Rhône-Alpes;Centre-Droite
KOTARAC Andréa;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
MAÎTRE Christophe;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
DIVE Julien;MASCULIN;LR;True;Hauts-de-France;Droite
RAY Nicolas;MASCULIN;LR;True;Auvergne-Rhône-Alpes;Droite
MONNET Yannick;MASCULIN;UG;True;Auvergne-Rhône-Alpes;Gauche
BOVET Jorys;MASCULIN;RN;True;Auvergne-Rhône-Alpes;Extrême-Droite
GIRARD Christian;MASCULIN;RN;True;Provence-Alpes-Côte d'Azur;Extrême-Droite
VAGINAY Sophie;FEMININ;UXD;True;Provence-Alpes-Côte d'Azur;Extrême-Droite
ROSSI Valérie;FEMININ;UG;True;Provence-Alpes-Côte d'Azur;Gauche
SAINTE-MARIE Jérôme;MASCULIN;RN;False;Provence-Alpes-Côte d'Azur;Extrême-Droite
TONNERRE Leïla;FEMININ;UG;False;Provence-Alpes-Côte d'Azur;Gauche
FERRAND Thierry;MASCULIN;RN;False;Provence-Alpes-Côte d'Azur;Extrême-Droite
GALBERT Franck;MASCULIN;RN;False;Provence-Alpes-Côte d'Azur;Extrême-Droite
LANDERER Dorette;FEMININ;RN;False;Provence-Alpes-Côte d'Azur;Extrême-Droite
QUIGNARD Laure;FEMININ;UG;False;Provence-Alpes-Côte d'Azur;Gauche
SALERNO Olivier;MASCULIN;UG;False;Provence-Alpes-Côte d'Azur;Gauche
PORQUET Céline;FEMININ;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
PALLOT Florence;FEMININ;UG;False;Auvergne-Rhône-Alpes;Gauche
VICTORY Michèle;FEMININ;UG;False;Auvergne-Rhône-Alpes;Gauche
TERMET Flavien;MASCULIN;RN;True;Grand Est;Extrême-Droite
